Windspeeds, Voltages, Currents, Resistances, Powers, RPMs, Pitches, Load settings
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.575000000000000000e+02,1.350000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-3.749999916180968285e-03,-3.333333333333333148e-01,-4.687499790452423053e-06,4.350000000000000000e+02,1.350000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-1.249999972060322762e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.825000000000000000e+02,1.350000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.950000000000000000e+02,1.350000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.750000000000000000e+02,1.350000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,5.408750000000000000e+03,1.400000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.787500000000000000e+02,1.400000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-4.999999888241291046e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.687500000000000000e+02,1.400000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.987500000000000000e+02,1.400000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.575000000000000000e+02,1.400000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-1.249999972060322762e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.962500000000000000e+02,1.400000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.687500000000000000e+02,1.400000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.775000000000000000e+02,1.400000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.700000000000000000e+02,1.400000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,5.050000000000000000e+02,1.400000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,5.248750000000000000e+03,1.450000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.837500000000000000e+02,1.450000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.850000000000000000e+02,1.450000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.462500000000000000e+02,1.450000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,2.800000000000000000e+02,1.450000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,2.499999944120645523e-03,-2.499999944120645523e-03,-1.000000000000000000e+00,-6.249999720603230738e-06,2.975000000000000000e+02,1.450000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,2.499999944120645523e-03,-1.249999972060322762e-03,-2.000000000000000000e+00,-3.124999860301615369e-06,4.100000000000000000e+02,1.450000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,2.499999944120645523e-03,-2.499999944120645523e-03,-1.000000000000000000e+00,-6.249999720603230738e-06,3.750000000000000000e+02,1.450000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,2.499999944120645523e-03,-2.499999944120645523e-03,-1.000000000000000000e+00,-6.249999720603230738e-06,3.775000000000000000e+02,1.450000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,2.499999944120645523e-03,-1.249999972060322762e-03,-2.000000000000000000e+00,-3.124999860301615369e-06,3.912500000000000000e+02,1.450000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-2.499999944120645523e-03,-5.000000000000000000e-01,-3.124999860301615369e-06,4.166250000000000000e+03,1.480000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-3.749999916180968285e-03,-3.333333333333333148e-01,-4.687499790452423053e-06,3.387500000000000000e+02,1.480000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-1.249999972060322762e-03,-1.000000000000000000e+00,-1.562499930150807684e-06,3.150000000000000000e+02,1.480000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,2.499999944120645523e-03,-2.499999944120645523e-03,-1.000000000000000000e+00,-6.249999720603230738e-06,2.612500000000000000e+02,1.480000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-3.749999916180968285e-03,-3.333333333333333148e-01,-4.687499790452423053e-06,2.600000000000000000e+02,1.480000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,2.499999944120645523e-03,-2.499999944120645523e-03,-1.000000000000000000e+00,-6.249999720603230738e-06,3.650000000000000000e+02,1.480000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,2.499999944120645523e-03,-3.749999916180968285e-03,-6.666666666666666297e-01,-9.374999580904846107e-06,3.000000000000000000e+02,1.480000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-2.499999944120645523e-03,-5.000000000000000000e-01,-3.124999860301615369e-06,2.525000000000000000e+02,1.480000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-2.499999944120645523e-03,-5.000000000000000000e-01,-3.124999860301615369e-06,2.575000000000000000e+02,1.480000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-2.499999944120645523e-03,-5.000000000000000000e-01,-3.124999860301615369e-06,2.750000000000000000e+02,1.480000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
